ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-23,2026-03-20,2026-03-23,2026-03-27,0.73282
2025-12-22,2025-12-19,2025-12-22,2025-12-31,0.79408
2025-09-22,2025-09-19,2025-09-22,2025-10-31,0.69395
2025-06-23,2025-06-20,2025-06-23,2025-07-31,0.59111
2025-03-24,2025-03-21,2025-03-24,2025-04-30,0.71571
2024-12-23,2024-12-20,2024-12-23,2024-12-31,0.83466
2024-09-23,2024-09-20,2024-09-23,2024-10-31,0.67686
2024-06-24,2024-06-21,2024-06-24,2024-07-31,0.7615
2024-03-18,2024-03-15,2024-03-19,2024-04-30,0.57345
2023-12-27,2023-12-26,2023-12-28,2024-01-15,0.21584
2023-12-18,2023-12-15,2023-12-19,2023-12-29,0.80826
2023-09-18,2023-09-15,2023-09-19,2023-09-22,0.53885
2023-06-20,2023-06-16,2023-06-21,2023-07-31,0.50395
2023-03-20,2023-03-17,2023-03-21,2023-04-28,0.47223
2022-12-19,2022-12-16,2022-12-20,2022-12-23,0.65541
2022-09-19,2022-09-16,2022-09-20,2022-10-31,0.51856
2022-06-21,2022-06-17,2022-06-22,2022-07-29,0.5274
2022-03-21,2022-03-18,2022-03-22,2022-04-29,0.43369
2021-12-20,2021-12-17,2021-12-21,2021-12-31,0.49141
2021-09-20,2021-09-17,2021-09-21,2021-10-29,0.41391
2021-06-21,2021-06-18,2021-06-22,2021-06-30,0.39679
2021-03-22,2021-03-19,2021-03-23,2021-04-30,0.39468
2020-12-21,2020-12-18,2020-12-22,2020-12-31,0.56133
2020-09-21,2020-09-18,2020-09-22,2020-10-30,0.38824
2020-06-22,,,,0.42426
2020-03-23,,,,0.36269
2019-12-23,,,,0.45765
2019-09-23,,,,0.38415
2019-06-24,,,,0.41558
2019-03-18,,,,0.32421
2018-12-24,,,,0.42061
2018-09-24,,,,0.32975
2018-06-18,,,,0.37837
2018-03-19,,,,0.27655
2017-12-18,,,,0.32941
2017-09-18,,,,0.31938
2017-06-16,,,,0.37842
2017-03-17,,,,0.27415
2016-12-16,,,,0.35494
2016-09-16,,,,0.29387
2016-06-17,,,,0.28665
2016-03-18,,,,0.3178
2015-12-18,,,,0.34233
2015-09-18,,,,0.26002
2015-06-19,,,,0.25416
2015-03-20,,,,0.24806
2014-12-19,,,,0.38681
2014-09-19,,,,0.2378
2014-06-20,,,,0.2491
2014-03-21,,,,0.20606
2014-02-27,,,,0.37313
2013-12-20,,,,0.27241
2013-09-20,,,,0.23771
2013-06-21,,,,0.22361
2013-03-15,,,,0.15931
2012-12-21,,,,0.36663
2012-09-21,,,,0.2002
2012-06-15,,,,0.14312
2012-03-16,,,,0.11283
2011-12-16,,,,0.16052
2011-09-16,,,,0.10434
2011-06-17,,,,0.12079
2011-03-18,,,,0.07687
2010-12-17,,,,0.10832
2010-09-17,,,,0.11155
2010-06-18,,,,0.0893
2010-03-19,,,,0.05146
2009-12-18,,,,0.0776
2009-09-18,,,,0.04076
2009-06-19,,,,0.04394
2009-03-20,,,,0.04888
2008-12-19,,,,0.04346
2008-09-19,,,,0.02807
2008-06-20,,,,0.03441
2008-03-20,,,,0.03252
2007-12-21,,,,0.05331
2007-09-21,,,,0.026
2007-06-15,,,,0.03693
2007-03-16,,,,0.0267
2006-12-15,,,,0.05449
2006-09-15,,,,0.0234
2006-06-16,,,,0.0257
2006-03-17,,,,0.0291
2005-12-16,,,,0.1011
2005-06-17,,,,0.03476
2004-12-17,,,,0.37858
2003-12-24,,,,0.01358
